set_number,name,piece_count,image_url
3219,Mini TIE Fighter,12,https://images.brickset.com/sets/small/3219-1.jpg?200708030701
3340,"Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader",32,https://images.brickset.com/sets/small/3340-1.jpg?200006010843
3341,"Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",22,https://images.brickset.com/sets/small/3341-1.jpg?201910160846
3342,Star Wars #3 - Chewbacca and 2 Biker Scouts,22,https://images.brickset.com/sets/small/3342-1.jpg?201910160845
3343,Star Wars #4 - Battle Droid Commander and 2 Battle Droids,30,https://images.brickset.com/sets/small/3343-1.jpg?200006010843
4475,Jabba's Message,44,https://images.brickset.com/sets/small/4475-1.jpg?200709280611
4476,Jabba's Prize,40,https://images.brickset.com/sets/small/4476-1.jpg?200709280612
4477,T-16 Skyhopper ,98,https://images.brickset.com/sets/small/4477-1.jpg?200709280612
4478,Geonosian Fighter,170,https://images.brickset.com/sets/small/4478-1.jpg?200709280635
4479,TIE Bomber,230,https://images.brickset.com/sets/small/4479-1.jpg?200709280613
4480,Jabba's Palace,231,https://images.brickset.com/sets/small/4480-1.jpg?200709280613
4481,Hailfire Droid,681,https://images.brickset.com/sets/small/4481-1.jpg?200709280635
4482,AT-TE,658,https://images.brickset.com/sets/small/4482-1.jpg?200709280635
4483,AT-AT,1064,https://images.brickset.com/sets/small/4483-1.jpg?200709280613
4484,X-wing Fighter & TIE Advanced,76,https://images.brickset.com/sets/small/4484-1.jpg?200211031121
4485,Sebulba's Podracer & Anakin's Podracer,72,https://images.brickset.com/sets/small/4485-1.jpg?200211031122
4486,AT-ST & Snowspeeder,76,https://images.brickset.com/sets/small/4486-1.jpg?200211031123
4487,Jedi Starfighter & Slave I,53,https://images.brickset.com/sets/small/4487-1.jpg?200211031124
4488,Millennium Falcon,87,https://images.brickset.com/sets/small/4488-1.jpg?200301030418
4489,AT-AT,98,https://images.brickset.com/sets/small/4489-1.jpg?200301030418
4490,Republic Gunship,102,https://images.brickset.com/sets/small/4490-1.jpg?200301030418
4491,MTT,99,https://images.brickset.com/sets/small/4491-1.jpg?200301030418
4492,Star Destroyer,87,https://images.brickset.com/sets/small/4492-1.jpg?200310020124
4493,Sith Infiltrator,55,https://images.brickset.com/sets/small/4493-1.jpg?200310020124
4494,Imperial Shuttle,82,https://images.brickset.com/sets/small/4494-1.jpg?200310020126
4495,AT-TE,63,https://images.brickset.com/sets/small/4495-1.jpg?200310020127
4500,Rebel Snowspeeder,214,https://images.brickset.com/sets/small/4500-1.jpg?200709280613
4501,Mos Eisley Cantina,193,https://images.brickset.com/sets/small/4501-1.jpg?200709280614
4502,X-wing Fighter,563,https://images.brickset.com/sets/small/4502-1.jpg?200709280614
4504,Millennium Falcon,985,https://images.brickset.com/sets/small/4504-1.jpg?200709280614
6205,V-wing Fighter,118,https://images.brickset.com/sets/small/6205-1.jpg?200709280637
6206,TIE Interceptor,212,https://images.brickset.com/sets/small/6206-1.jpg?200709280614
6207,A-wing Fighter,194,https://images.brickset.com/sets/small/6207-1.jpg?200709280615
6208,B-wing Fighter,435,https://images.brickset.com/sets/small/6208-1.jpg?200709280615
6209,Slave I,537,https://images.brickset.com/sets/small/6209-1.jpg?200709280615
6210,Jabba's Sail Barge,781,https://images.brickset.com/sets/small/6210-1.jpg?200709280616
6211,Imperial Star Destroyer,1367,https://images.brickset.com/sets/small/6211-1.jpg?200709280616
6212,X-wing Fighter,437,https://images.brickset.com/sets/small/6212-1.jpg?200709280616
6963,X-wing Fighter,41,https://images.brickset.com/sets/small/6963-1.jpg?200405251034
6964,Boba Fett's Slave I,25,https://images.brickset.com/sets/small/6964-1.jpg?200405251035
6965,TIE Interceptor,32,https://images.brickset.com/sets/small/6965-1.jpg?200405251036
6966,Mini Jedi Starfighter,38,https://images.brickset.com/sets/small/6966-1.jpg?200503250152
6967,Mini ARC-170 Starfighter,42,https://images.brickset.com/sets/small/6967-1.jpg?200505180352
6968,Wookiee Attack,48,https://images.brickset.com/sets/small/6968-1.jpg?201110270623
7101,Lightsaber Duel,52,https://images.brickset.com/sets/small/7101-1.jpg?200709280631
7103,Jedi Duel,82,https://images.brickset.com/sets/small/7103-1.jpg?200709280635
7104,Desert Skiff,55,https://images.brickset.com/sets/small/7104-1.jpg?200709280616
7106,Droid Escape,45,https://images.brickset.com/sets/small/7106-1.jpg?200709280617
7110,Landspeeder,49,https://images.brickset.com/sets/small/7110-1.jpg?200709280617
