set_number,name,piece_count,image_url
75189,First Order Heavy Assault Walker,1376,
75190,First Order Star Destroyer,1416,
75191,Jedi Starfighter with Hyperdrive,825,
75192,Millennium Falcon,7541,
75193,Millennium Falcon Microfighter,92,
75194,First Order TIE Fighter Microfighter,91,
75195,Ski Speeder vs. First Order Walker Microfighters,216,
75196,A-Wing vs. TIE Silencer Microfighters,188,
75197,First Order Specialists Battle Pack,108,
75198,Tatooine Battle Pack,97,
75199,General Grievous' Combat Speeder,157,
75200,Ahch-To Island Training,241,
75201,First Order AT-ST,370,
75202,Defense of Crait,746,
75203,Hoth Medical Chamber,255,
75204,Sandspeeder,278,
75205,Mos Eisley Cantina,376,
75206,Jedi and Clone Troopers Battle Pack,102,
75207,Imperial Patrol Battle Pack,99,
75208,Yoda's Hut,229,
75209,Han Solo's Landspeeder,345,
75210,Moloch's Landspeeder,464,
75211,Imperial TIE Fighter,519,
75212,Kessel Run Millennium Falcon,1414,
75213,LEGO Star Wars Advent Calendar,307,
75214,Anakin's Jedi Starfighter,247,
75215,Cloud-Rider Swoop Bikes,355,
75216,Snoke's Throne Room,492,
75217,Imperial Conveyex Transport,622,
75218,X-wing Starfighter,731,
75219,Imperial AT-Hauler,829,
75220,Sandcrawler,1239,
75221,Imperial Landing Craft,636,
75222,Betrayal at Cloud City,2812,
75223,Naboo Starfighter Microfighter,62,
75224,Sith Infiltrator Microfighter,92,
75225,Elite Praetorian Guard Battle Pack,109,
75226,Inferno Squad Battle Pack,118,
75227,Darth Vader Bust,327,
75228,Escape Pod vs. Dewback Microfighters,177,
75229,Death Star Escape,329,
75230,Porg,811,
75233,Droid Gunship,389,
75234,AT-AP Walker,689,
75235,X-wing Starfighter Trench Run,132,
75236,Duel on Starkiller Base,191,
75237,TIE Fighter Attack,77,
75238,Action Battle Endor Assault,193,
75239,Action Battle Hoth Generator Attack,235,
75240,Major Vonreg's TIE Fighter,496,
75241,Action Battle Echo Base Defense,504,
75242,Black Ace TIE Interceptor,396,
75243,Slave I - 20th Anniversary Edition,1007,
75244,Tantive IV,1768,
75245,LEGO Star Wars Advent Calendar,280,
75246,Death Star Cannon,159,
75247,Rebel A-wing Starfighter,62,
75248,Resistance A-wing Starfighter,269,
75249,Resistance Y-wing Starfighter,578,
75250,Pasaana Speeder Chase,373,
75251,Darth Vader's Castle,1060,
75252,Imperial Star Destroyer,4784,
75253,Droid Commander,1177,
75254,AT-ST Raider,540,
75255,Yoda,1771,
75256,Kylo Ren's Shuttle,1005,
75257,Millennium Falcon,1351,
75258,Anakin's Podracer – 20th Anniversary Edition,279,
75259,Snowspeeder – 20th Anniversary Edition,309,
75261,Clone Scout Walker  – 20th Anniversary Edition,250,
75262,Imperial Dropship  – 20th Anniversary Edition,125,
75263,Resistance Y-wing Microfighter,86,
75264,Kylo Ren's Shuttle Microfighter,72,
